Model,Acc_mean,Acc_std,F1w_mean,F1w_std
VQC,0.31196969696969695,0.08107278299929445,0.22392338941559975,0.08053358198155074
QCNN,0.33515151515151514,0.025447780486330066,0.23267407945901405,0.02825755303523985
QNN-DRU,0.5348484848484848,0.03551665112150996,0.47237410302110344,0.030835082245275685
Amplitude,0.672121212121212,0.010778894795049935,0.652456559932331,0.02371078411293667
