shots,acc_mean,acc_std,diff_from_exact
256,0.5896666666666667,0.01501480750607362,-0.09260606060606058
1024,0.6373333333333334,0.009637888196533974,-0.044939393939393835
4096,0.647,0.006046119049072336,-0.03527272727272723
8192,0.6479999999999999,0.005811865258054216,-0.034272727272727344
