split,quantum_acc,mlp_acc,logreg_acc
0,0.4592337917485265,0.5780943025540275,0.5525540275049116
1,0.4901768172888016,0.6335952848722987,0.45579567779960706
2,0.44646365422396855,0.5717092337917485,0.4489194499017682
3,0.5329076620825147,0.6316306483300589,0.4945972495088409
4,0.4533398821218075,0.50049115913556,0.48428290766208254
