Encoder,Features,Variance,Acc_mean,Acc_std
Angle (RY),8,0.7877420188947493,0.5348484848484848,0.03551665112150996
Angle-dense (RY+RZ),16,0.9294945822912096,0.5399999999999999,0.05888600838459909
Amplitude,8,0.7877420188947493,0.5512121212121213,0.02022769832715345
Amplitude,16,0.9294945822912096,0.5831818181818181,0.02520986295247645
Amplitude,32,0.9971810692666104,0.673030303030303,0.010778894795049981
Amplitude,64,1.0,0.672121212121212,0.010778894795049935
Amplitude,79,1.0,0.672121212121212,0.010778894795049935
