qubits,retained_variance
4,0.6225795537993809
5,0.6679813240555805
6,0.7093767239553177
7,0.7434216585800778
8,0.774654327308173
9,0.8021713032604529
10,0.8242748565523976
11,0.8428744748285804
12,0.8595390252503826
