Model,Accuracy,AUC
VQC,0.9086363636363637,0.8792925
QCNN,0.9090909090909091,0.8960074999999998
QSVM(subsample),0.8857142857142857,0.9446824596774194
QNN-DRU,0.95,0.9183475000000001
