flow_index,drift_alpha,windowed_acc
0,0.0,0.565
200,0.07272727272727274,0.465
400,0.14545454545454548,0.435
600,0.21818181818181817,0.385
800,0.29090909090909095,0.315
1000,0.36363636363636365,0.265
1200,0.43636363636363634,0.3
1400,0.5090909090909091,0.285
1600,0.5818181818181819,0.225
1800,0.6545454545454547,0.245
